1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
205.0,205.0,1.000000000000028,1.000000000000028,12.00000000000003,12.00000000000003,0.0,213.0,213.0,119.0,119.0,17.0,17.0,21.0,21.0,0.0,133.0,133.0,21.0,140.0,3.740336716125969,7.39,7.39,0.0,9.682458365518542,68.0,68.0,30.0,30.0,15.0,15.0,0.0,44.0,45.5,58.0,58.0,30.0,5.416666666666667,1.037491633165728,7.0,4.0,5.272727272727272,7.0,5.333333333333333,3.0,3.0,0.1333333333333329,0.0,5.0,5.0,3.0,2.25,0.82915619758885,5.0,5.0,3.0,3.0,3.0,3.0,7.343917,7.434018,1.575642,1.575641999999998,0.09010099999999976,0.09010099999999976,0.0,25.0,25.0,0.1522675824549227,1.55,0.4099999999999999,0.4099999999999999,0.0,1.520366666666667,0.6054653780532973,1.112067,0.0,1.112067,1.112067,1.112067,0.0,1.5767008,1.478157,0.741378,0.741378,118.0,118.0,19.0,19.0,0.0,94.08333333333333,13.01574900734576,12.0,35.0,35.0,92.6,90.25,78.33333333333333,78.33333333333333,1.258989894937825
180.0,208.0,28.0,28.0,6.0,2.0,6.000000000000028,204.0,206.6666666666667,103.0,123.5,20.5,20.5,20.5,16.5,9.0,137.1666666666667,134.5,41.0,150.0,2.533604117929415,7.39,8.845,2.910000000000001,15.03351579711886,68.0,61.5,42.1,42.09999999999999,14.5,18.5,13.0,27.82,29.925,51.83333333333334,49.16666666666666,48.6,5.75,1.361677886530683,11.0,5.0,5.454545454545454,9.0,5.333333333333333,5.0,4.0,0.2666666666666666,4.0,5.666666666666667,6.333333333333333,7.0,2.25,0.7216878364870323,5.0,3.0,1.0,0.0,2.333333333333333,3.0,7.4166796,7.505126000000001,2.854884,2.854884,0.08844640000000048,1.103263,0.1422160000000003,16.0,36.0,0.3562146668638013,1.74,0.06000000000000005,0.3099999999999998,0.3799999999999999,1.499684544166667,0.7361073653777611,0.35674316,0.6509999999999999,0.70137158,0.2942568399999999,0.3950000000000001,1.302,1.791883224,1.7205780225,0.4548287733333334,0.9143333333333334,104.0,126.0,22.0,22.0,16.0,94.79166666666667,10.29959209008892,6.5,27.5,32.5,92.7,90.875,81.83333333333333,85.16666666666667,2.785439821643972
190.0,205.5,15.5,15.5,0.5,0.5,1.000000000000028,205.8333333333333,205.8333333333333,116.0,120.5,4.500000000000014,4.500000000000014,19.5,19.5,3.0,133.5,133.5,24.00000000000001,140.0,2.8678073069856,7.23,7.31,0.1599999999999993,13.35092589381808,83.0,75.5,46.6,46.59999999999999,32.5,32.5,15.0,38.21999999999999,40.55,53.83333333333334,53.83333333333334,54.1,5.708333333333333,0.5384519993050035,7.0,5.0,5.636363636363637,6.5,5.666666666666667,1.5,1.5,0.06666666666666732,1.0,5.5,5.5,2.0,2.625,0.9921567416492215,6.0,5.5,2.5,2.5,3.833333333333333,3.833333333333333,6.76651,7.100264,2.652128,2.652128,1.508125000000001,1.508125000000001,0.6675079999999998,24.0,24.5,0.3126896646659253,1.605,0.4449999999999998,0.4449999999999998,0.1099999999999999,1.555140833333333,0.5886734100424209,1.046,0.333,1.046,0.7130000000000001,0.7130000000000001,0.6659999999999999,1.683136,1.5987525,0.8083333333333335,0.8083333333333335,117.0,118.5,1.5,1.5,1.0,95.33333333333333,12.98289472943363,5.0,43.0,43.0,91.4,89.0,81.66666666666667,81.66666666666667,0.9604403467796543
190.0,207.5,1.5,17.5,9.5,0.5000000000000284,5.000000000000028,213.8333333333333,207.1666666666667,116.0,122.0,14.0,6.000000000000014,18.0,29.0,6.0,134.0,141.3333333333333,35.00000000000001,137.5,3.67949986694297,7.39,7.845000000000001,0.910000000000001,11.24607030131958,68.0,67.0,29.0,38.09999999999999,14.0,19.0,2.0,43.8,38.425,57.66666666666666,54.33333333333334,39.1,5.666666666666667,1.067187372905475,9.0,5.0,5.454545454545454,8.0,5.333333333333333,4.0,3.0,0.2666666666666666,2.0,5.333333333333333,6.0,5.0,2.333333333333333,0.6871842709362769,5.0,4.0,2.0,1.0,2.666666666666667,3.333333333333333,7.285516,7.446459,1.563201,2.305933,0.1025419999999997,0.1609429999999996,0.02488199999999985,25.0,35.0,0.2699610954481322,1.915,0.04499999999999993,0.01500000000000012,0.7299999999999998,1.551906,0.5613708359333427,0.942362,0.5685,1.0272145,0.5435669999999999,0.373862,1.137,1.6904008,1.6576275,0.9308779999999999,0.8177413333333333,117.0,121.5,15.5,4.5,7.0,95.375,11.69334746768435,8.07142857142857,30.5,37.5,93.5,90.625,79.83333333333333,84.5,0.9988276982709948
205.0,214.0,8.0,8.0,8.0,8.0,18.00000000000003,208.6666666666667,208.6666666666667,119.0,136.5,0.5,0.5,3.5,3.5,35.0,138.8333333333333,138.8333333333333,35.0,147.5,2.837091349672916,7.39,10.745,6.71,15.42724862054151,112.0,90.0,52.0,52.0,47.0,47.0,44.0,48.4,51.0,58.66666666666666,58.66666666666666,74.0,5.625,0.6332785063987777,7.0,5.0,5.636363636363637,5.5,5.666666666666667,0.5,0.5,0.06666666666666732,3.0,5.166666666666667,5.166666666666667,3.0,2.458333333333333,0.705878097754059,5.0,3.5,0.5,0.5,3.166666666666667,3.166666666666667,6.6339,7.033958999999999,1.975701000000001,1.975700999999999,1.574430000000001,1.574430000000001,0.8001180000000003,25.0,32.5,0.1816743117657407,1.44,0.6099999999999999,0.6099999999999999,0.22,1.516094333333333,0.5827494545147358,1.046,0.213,1.046,0.8330000000000001,0.8330000000000001,0.426,1.6193008,1.531407,0.7683333333333334,0.7683333333333334,118.0,131.5,5.5,5.5,27.0,95.625,14.26771559617493,6.0,46.5,46.5,91.5,88.875,80.5,80.5,0.9278196514169958
190.0,207.5,17.5,17.5,5.5,1.5,5.000000000000028,203.8333333333333,206.5,116.0,119.5,3.500000000000014,3.500000000000014,24.5,20.5,1.0,135.8333333333333,133.1666666666667,28.00000000000001,140.0,2.645752065681052,7.39,8.145,1.510000000000001,10.21805343361554,68.0,47.07,18.17,18.17,0.07000000000000028,4.07,41.86,32.53399999999999,33.4425,47.02333333333333,44.35666666666666,41.86,5.791666666666667,1.526956850150724,12.0,5.0,5.454545454545454,9.5,5.333333333333333,5.5,4.5,0.2666666666666666,5.0,5.833333333333333,6.5,8.0,2.208333333333333,0.8154327412825386,5.0,2.5,0.5,0.5,2.166666666666667,2.833333333333333,7.4166796,7.885439,1.866953000000001,1.866953000000001,0.4687593999999997,0.7229500000000009,0.9028419999999997,25.0,35.5,0.3349375460025678,1.875,0.07499999999999996,0.1749999999999998,0.6500000000000001,1.43593136,0.7325554392635969,0.35674316,0.281,0.70137158,0.07574315999999998,0.765,0.562,1.672736,1.5857525,0.33149544,0.791,117.0,123.0,6.0,6.0,10.0,95.20833333333333,10.99234266306424,7.5,29.5,34.5,93.1,91.125,81.16666666666667,84.5,0.9167617374941722
190.0,210.5,4.5,20.5,4.5,3.500000000000028,11.00000000000003,207.5,208.1666666666667,116.0,123.5,12.5,7.500000000000014,16.5,27.5,9.0,134.5,141.8333333333333,35.00000000000001,137.5,3.589179896074992,7.39,7.945,1.11,11.78744624118765,79.0,73.5,35.5,44.59999999999999,30.5,25.5,11.0,45.1,40.05,53.16666666666666,56.5,50.1,5.75,0.5951190357119042,7.0,5.0,5.636363636363637,7.0,5.666666666666667,2.0,2.0,0.06666666666666732,0.0,5.666666666666667,5.666666666666667,2.0,2.583333333333333,0.8620067027323833,5.0,5.0,2.0,2.0,3.666666666666667,3.666666666666667,7.119381,7.276699499999999,1.732960500000001,2.475692500000001,1.331689500000001,0.008816500000000893,0.3146370000000003,25.0,34.0,0.2607997182812043,1.825,0.2249999999999996,0.07499999999999973,0.55,1.5164365,0.5991208108487663,0.942362,0.275,0.994181,0.771,0.667362,0.55,1.6317008,1.5842525,0.7890000000000001,0.7199080000000001,117.0,122.5,14.5,5.5,9.0,96.04166666666667,12.45484901108355,5.071428571428569,40.5,41.5,92.7,89.625,82.5,83.16666666666667,0.9684967410889931
205.0,205.0,1.000000000000028,1.000000000000028,12.00000000000003,1.000000000000028,0.0,213.0,205.6666666666667,119.0,119.0,17.0,17.0,21.0,21.0,0.0,133.0,133.0,21.0,140.0,3.661607399763115,7.39,7.39,0.0,9.090593428863096,68.0,68.0,30.0,30.0,15.0,25.0,0.0,44.0,45.5,58.0,51.33333333333334,30.0,5.583333333333333,0.8620067027323833,7.0,5.0,5.454545454545454,7.0,5.333333333333333,3.0,2.0,0.2666666666666666,0.0,5.0,5.666666666666667,3.0,2.416666666666667,0.8620067027323833,5.0,5.0,3.0,2.0,3.0,3.666666666666667,7.343917,7.434018,1.575642,1.575641999999998,0.09010099999999976,1.174371000000001,0.0,25.0,25.0,0.1512792671408302,1.55,0.4099999999999999,0.4999999999999998,0.0,1.5093555,0.6133402516851881,1.046,0.0,1.0790335,1.112067,1.046,0.0,1.5767008,1.478157,0.741378,0.6973333333333334,118.0,118.0,19.0,19.0,0.0,95.08333333333333,12.89352766141042,9.0,35.0,41.0,92.6,90.25,78.33333333333333,82.33333333333333,1.259423368936047
180.0,211.5,21.5,31.5,4.500000000000028,4.500000000000028,13.00000000000006,208.5,208.5,103.0,127.5,11.50000000000001,24.5,23.5,23.5,17.0,143.1666666666667,143.1666666666667,48.0,147.5,3.344075996569655,7.39,10.245,5.71,13.41413019501782,68.0,57.0,28.1,37.59999999999999,9.0,9.0,22.0,34.52,28.8,51.0,51.0,48.6,5.958333333333333,1.368672308804737,12.0,5.0,5.636363636363637,9.5,5.666666666666667,4.5,4.5,0.06666666666666732,5.0,6.5,6.5,7.0,2.375,0.8569568250501305,5.0,2.5,0.5,0.5,2.833333333333333,2.833333333333333,7.285516,8.21392,1.538472000000001,2.146090000000001,0.9284039999999996,0.9284039999999996,1.559804,16.0,36.5,0.3624415661715539,1.62,0.2799999999999998,0.2799999999999998,0.1399999999999999,1.506953340833334,0.6817133163775536,0.942362,0.0,0.942362,0.942362,0.942362,0.0,1.616536,1.5578280225,0.6282413333333333,0.6282413333333333,104.0,128.0,11.0,24.0,20.0,96.54166666666667,9.793616827074437,3.571428571428569,30.5,30.5,94.1,91.625,86.83333333333333,86.83333333333333,2.668049088285296
205.0,210.5,4.5,4.5,3.500000000000028,3.500000000000028,11.00000000000003,208.1666666666667,208.1666666666667,119.0,123.5,12.5,12.5,27.5,27.5,9.0,141.8333333333333,141.8333333333333,32.0,137.5,3.573082794971623,7.39,7.945,1.11,10.06428986841871,79.0,73.5,35.5,35.5,25.5,25.5,11.0,45.1,46.875,56.5,56.5,41.0,5.75,0.5951190357119042,7.0,5.0,5.636363636363637,7.0,5.666666666666667,2.0,2.0,0.06666666666666732,0.0,5.666666666666667,5.666666666666667,2.0,2.583333333333333,0.8620067027323833,5.0,5.0,2.0,2.0,3.666666666666667,3.666666666666667,7.119381,7.276699499999999,1.732960500000001,1.732960499999999,0.008816500000000893,0.008816500000000893,0.3146370000000003,25.0,34.0,0.1338369395529086,1.825,0.07499999999999973,0.07499999999999973,0.55,1.486715,0.6034651407433019,0.942362,0.275,0.942362,0.667362,0.667362,0.55,1.6317008,1.546907,0.7199080000000001,0.7199080000000001,118.0,122.5,14.5,14.5,9.0,96.45833333333333,12.56310460126088,5.0,41.5,41.5,92.7,90.375,83.16666666666667,83.16666666666667,0.9630931613815977
